Gene,Coordinates,F1 N2 normalized reads,F1 morc-1(-) normalized reads,Log2(fold change),Adjusted p-value
F53G12.5,CHROMOSOME_I:127296-134065,168.70,91.76,-0.88,0.0025
C07F11.1,CHROMOSOME_I:444001-461610,20.82,11.33,-0.88,0.0025
Y37D8A.13,CHROMOSOME_III:12880939-12891637,45.55,24.87,-0.87,0.0025
Y73B3A.1,CHROMOSOME_X:42874-47060,16.52,9.02,-0.87,0.0025
K02B9.1,CHROMOSOME_X:13926964-13929563,74.22,40.57,-0.87,0.0025
K11D9.1,CHROMOSOME_III:10805830-10810902,58.54,32.01,-0.87,0.0025
B0280.5,CHROMOSOME_III:7102023-7103930,1904.28,1045.23,-0.87,0.0025
F48A11.5,CHROMOSOME_II:217264-220642,104.26,57.38,-0.86,0.0025
C44B12.5,CHROMOSOME_IV:1121456-1125283,535.65,294.82,-0.86,0.0025
Y48G1A.5,CHROMOSOME_I:318542-323353,85.15,46.96,-0.86,0.0025
ZK1005.1,CHROMOSOME_V:1276415-1285700,8.97,4.96,-0.86,0.0025
K08A2.4,CHROMOSOME_II:2988309-2991296,12.82,7.12,-0.85,0.0245
Y55F3BR.2,CHROMOSOME_IV:858929-874529,2.20,1.23,-0.84,0.0328
W05F2.3,CHROMOSOME_I:3367640-3368554,763.83,425.91,-0.84,0.0025
F52D2.4,CHROMOSOME_X:1986196-1989599,29.14,16.29,-0.84,0.0025
F29C4.1,CHROMOSOME_IV:132415-138076,10.68,5.97,-0.84,0.0025
C18D1.1,CHROMOSOME_II:10061485-10074384,15.73,8.81,-0.84,0.0025
Y71A12B.12,CHROMOSOME_I:14002435-14008459,4.47,2.52,-0.83,0.0396
Y11D7A.7,CHROMOSOME_IV:9249512-9250454,58.06,32.73,-0.83,0.0025
F54C4.3,CHROMOSOME_III:70440-86383,12.86,7.25,-0.83,0.0025
Y49A3A.1,CHROMOSOME_V:14347758-14350502,72.70,41.02,-0.83,0.0025
T20G5.1,CHROMOSOME_III:10203722-10209614,104.02,58.70,-0.83,0.0025
W09C2.3,CHROMOSOME_IV:9625892-9634931,17.62,9.95,-0.82,0.0025
R05H10.3,CHROMOSOME_II:14869867-14882977,23.29,13.16,-0.82,0.0025
F52D2.6,CHROMOSOME_X:1974906-1980890,6.97,3.94,-0.82,0.0092
T27A3.2,CHROMOSOME_I:6110135-6114539,52.14,29.48,-0.82,0.0025
F56A11.1,CHROMOSOME_IV:572722-583601,15.77,8.96,-0.82,0.0025
Y71F9AL.18,CHROMOSOME_I:2903597-2924717,43.41,24.68,-0.82,0.0025
Y45F10A.2,CHROMOSOME_IV:13506054-13521848,244.50,139.03,-0.81,0.0025
Y76B12C.2,CHROMOSOME_IV:1993088-2008292,25.59,14.56,-0.81,0.0025
T23G11.3,CHROMOSOME_I:7695656-7697868,541.41,308.40,-0.81,0.0025
Y43F4B.3,CHROMOSOME_III:13277159-13292984,26.09,14.86,-0.81,0.0077
C35A5.3,CHROMOSOME_V:10497035-10501374,15.54,8.88,-0.81,0.0061
CC8.2,CHROMOSOME_IV:3645157-3648679,23.40,13.39,-0.81,0.0025
C34G6.6,CHROMOSOME_I:5874435-5878957,7.40,4.24,-0.80,0.0045
R13F6.4,CHROMOSOME_III:6820879-6847219,5.02,2.87,-0.80,0.0145
Y41D4B.19,CHROMOSOME_IV:1567895-1595823,46.87,26.87,-0.80,0.0025
C37A2.2,CHROMOSOME_I:6791025-6797471,46.62,26.73,-0.80,0.0025
W06H12.1,CHROMOSOME_I:11206913-11211376,12.20,7.00,-0.80,0.0214
ZK1055.1,CHROMOSOME_V:6594176-6602589,78.88,45.34,-0.80,0.0025
T27F6.7,CHROMOSOME_I:12494813-12497344,25.78,14.83,-0.80,0.0158
ZK858.1,CHROMOSOME_I:9118107-9121754,92.07,53.02,-0.80,0.0025
F54E7.3,CHROMOSOME_III:5664189-5676687,52.81,30.48,-0.79,0.0025
K09H11.3,CHROMOSOME_V:5717866-5722071,46.94,27.12,-0.79,0.0025
F55A8.1,CHROMOSOME_IV:1902322-1917614,16.10,9.31,-0.79,0.0092
Y108G3AL.7,CHROMOSOME_V:186305-200687,31.52,18.25,-0.79,0.0025
C36A4.5,CHROMOSOME_III:3844874-3848244,24.69,14.31,-0.79,0.0025
Y48A6B.11,CHROMOSOME_III:11063429-11068659,33.39,19.38,-0.78,0.0025
Y39G10AR.14,CHROMOSOME_I:2316308-2321849,101.75,59.12,-0.78,0.0025
T14B4.7,CHROMOSOME_II:6710115-6712898,5.05,2.94,-0.78,0.0476
B0513.1,CHROMOSOME_IV:13888063-13892988,15.55,9.04,-0.78,0.0025
B0393.6,CHROMOSOME_III:4780123-4781946,58.45,34.11,-0.78,0.0025
C06A1.1,CHROMOSOME_II:10559957-10563349,339.73,198.33,-0.78,0.0025
R13H8.1,CHROMOSOME_I:10750331-10776689,74.94,43.85,-0.77,0.0025
Y76B12C.6,CHROMOSOME_IV:1981405-1991720,19.52,11.45,-0.77,0.0045
ZK512.5,CHROMOSOME_III:9125761-9130733,34.45,20.24,-0.77,0.0025
K08D9.3,CHROMOSOME_V:3210188-3223128,29.21,17.22,-0.76,0.0025
C50A2.2,CHROMOSOME_IV:1170705-1177065,15.56,9.17,-0.76,0.0092
C09G9.6,CHROMOSOME_IV:8888959-8890843,233.69,138.18,-0.76,0.0025
Y48B6A.11,CHROMOSOME_II:14234897-14243515,14.78,8.75,-0.76,0.0061
T22D1.9,CHROMOSOME_IV:6906403-6910145,135.36,80.22,-0.75,0.0025
Y59A8A.3,CHROMOSOME_V:17845717-17855965,127.91,79.32,-0.75,0.0025
F30B5.4,CHROMOSOME_IV:4205967-4218241,38.50,22.88,-0.75,0.0045
Y17G7B.5,CHROMOSOME_II:12001445-12006561,129.56,77.03,-0.75,0.0045
F54B11.3,CHROMOSOME_X:13584704-13589757,15.76,9.38,-0.75,0.0025
Y48G1C.7,CHROMOSOME_I:96534-100613,44.78,26.73,-0.74,0.0025
C50E3.13,CHROMOSOME_V:7622315-7624195,18.69,11.18,-0.74,0.0145
VW02B12L.3,CHROMOSOME_II:11442652-11443945,83.18,49.78,-0.74,0.0061
Y38F1A.10,CHROMOSOME_II:13014261-13025768,55.96,33.51,-0.74,0.0045
C08B6.7,CHROMOSOME_V:10130442-10134125,52.68,31.59,-0.74,0.0025
Y55D5A.5,CHROMOSOME_III:2995754-3028792,28.80,17.30,-0.74,0.0045
Y49E10.19,CHROMOSOME_III:12446254-12453103,76.50,46.04,-0.73,0.0025
C47E12.5,CHROMOSOME_IV:9983268-9995013,224.73,135.38,-0.73,0.0025
F54D12.6,CHROMOSOME_II:1369052-1374992,30.82,18.57,-0.73,0.0092
W01A8.1,CHROMOSOME_I:7057168-7059348,185.42,111.74,-0.73,0.0025
T25E12.5,CHROMOSOME_V:16745084-16746240,335.69,202.35,-0.73,0.0025
Y50D4C.5,CHROMOSOME_V:998446-1003593,42.11,25.39,-0.73,0.0061
Y39H10A.3,CHROMOSOME_V:3743562-3749420,23.86,14.40,-0.73,0.0061
C47D12.1,CHROMOSOME_II:11661515-11675863,21.89,13.23,-0.73,0.0025
F10C5.1,CHROMOSOME_III:475450-482321,28.26,17.09,-0.73,0.0045
C18G1.5,CHROMOSOME_V:4754298-4755459,344.90,209.16,-0.72,0.0025
Y18D10A.20,CHROMOSOME_I:12921990-12923535,600.91,364.52,-0.72,0.0025
Y49E10.4,CHROMOSOME_III:12378887-12380511,38.82,23.57,-0.72,0.0025
F54D11.2,CHROMOSOME_V:4617932-4628496,30.31,18.43,-0.72,0.0025
F43G6.9,CHROMOSOME_II:11774600-11777882,104.47,63.52,-0.72,0.0025
T02E1.3,CHROMOSOME_I:8211104-8218355,76.49,46.58,-0.72,0.0380
Y55F3AL.1,CHROMOSOME_IV:959451-984392,8.95,5.47,-0.71,0.0025
M02B7.5,CHROMOSOME_IV:3808074-3819318,20.01,12.24,-0.71,0.0158
C01G6.8,CHROMOSOME_II:9295876-9310242,31.42,19.24,-0.71,0.0025
ZK328.5,CHROMOSOME_III:6013445-6019503,88.28,54.10,-0.71,0.0045
K08E3.6,CHROMOSOME_III:13768439-13771141,73.35,44.99,-0.71,0.0045
W08F4.8,CHROMOSOME_II:574870-580592,91.37,56.08,-0.70,0.0025
Y67D8A.2,CHROMOSOME_IV:3222436-3252600,20.77,12.76,-0.70,0.0045
F42G9.7,CHROMOSOME_III:786693-793682,23.88,14.68,-0.70,0.0192
Y18D10A.17,CHROMOSOME_I:12904452-12906348,568.83,349.73,-0.70,0.0025
F58G1.1,CHROMOSOME_II:12919507-12923304,67.38,41.44,-0.70,0.0025
Y51H1A.5,CHROMOSOME_II:13882631-13887964,15.42,9.49,-0.70,0.0225
F37C12.7,CHROMOSOME_III:7167775-7170930,158.85,97.79,-0.70,0.0025
F49C12.9,CHROMOSOME_IV:9314792-9316183,65.64,40.46,-0.70,0.0025
Y18H1A.6,CHROMOSOME_I:720013-736555,14.98,9.24,-0.70,0.0145
C07D8.6,CHROMOSOME_X:7341462-7342737,198.71,122.57,-0.70,0.0025
C52B9.8,CHROMOSOME_X:4297835-4303160,4.32,2.67,-0.70,0.0365
F32H2.5,CHROMOSOME_I:8975376-8986515,27.41,16.92,-0.70,0.0045
ZK632.7,CHROMOSOME_III:9819206-9823036,40.18,24.80,-0.70,0.0045
Y57A10A.31,CHROMOSOME_II:12289340-12300009,44.85,27.69,-0.70,0.0025
T12F5.5,CHROMOSOME_I:3732984-3740482,84.15,51.97,-0.70,0.0025
C18H9.2,CHROMOSOME_II:6691268-6691807,154.45,95.47,-0.69,0.0245
ZK470.2,CHROMOSOME_X:4135108-4147638,35.39,21.89,-0.69,0.0273
Y77E11A.7,CHROMOSOME_IV:1410753-1419846,32.94,20.37,-0.69,0.0025
F53H1.3,CHROMOSOME_IV:1329159-1339376,17.19,10.64,-0.69,0.0170
T19E10.1,CHROMOSOME_II:10778335-10783230,38.46,23.82,-0.69,0.0045
M01E5.3,CHROMOSOME_I:13281412-13286488,61.26,37.94,-0.69,0.0092
F10G7.2,CHROMOSOME_II:4706809-4710166,168.74,104.58,-0.69,0.0025
C55B7.1,CHROMOSOME_I:6514021-6517508,53.69,33.29,-0.69,0.0025
Y105E8B.4,CHROMOSOME_I:14647768-14651446,78.44,48.67,-0.69,0.0061
Y54G2A.26,CHROMOSOME_IV:2986081-2995571,15.40,9.56,-0.69,0.0181
W08F4.3,CHROMOSOME_II:580598-582014,179.51,111.75,-0.68,0.0025
T20F5.6,CHROMOSOME_I:3920179-3925174,43.74,27.24,-0.68,0.0025
R04D3.3,CHROMOSOME_X:13288843-13290559,128.90,80.28,-0.68,0.0025
Y65A5A.2,CHROMOSOME_IV:16411987-16416651,75.19,46.84,-0.68,0.0092
F57C7.1,CHROMOSOME_X:10569056-10575659,9.61,5.99,-0.68,0.0181
C47B2.3,CHROMOSOME_I:12964667-12966865,954.52,594.94,-0.68,0.0025
F33H1.1,CHROMOSOME_II:10157477-10169262,6.67,4.16,-0.68,0.0396
C14B1.7,CHROMOSOME_III:3719885-3723579,33.35,20.88,-0.68,0.0045
R03E1.1,CHROMOSOME_X:14164568-14169630,10.36,6.49,-0.68,0.0170
F56F3.1,CHROMOSOME_III:4472054-4475112,266.91,167.30,-0.67,0.0025
Y76A2B.1,CHROMOSOME_III:13514848-13523992,136.05,85.37,-0.67,0.0045
Y51H4A.12,CHROMOSOME_IV:16647091-16655800,8.60,5.40,-0.67,0.0181
Y111B2A.22,CHROMOSOME_III:12714464-12743828,41.68,26.20,-0.67,0.0121
Y37H9A.3,CHROMOSOME_I:13778883-13792153,10.99,6.91,-0.67,0.0214
F19B10.10,CHROMOSOME_II:3677537-3681418,12.17,7.65,-0.67,0.0450
Y45G5AL.1,CHROMOSOME_V:4144490-4152257,57.69,36.29,-0.67,0.0236
C48A7.2,CHROMOSOME_IV:7393209-7397099,131.95,83.09,-0.67,0.0025
D2045.2,CHROMOSOME_III:10452583-10460453,30.76,19.38,-0.67,0.0025
T23B5.3,CHROMOSOME_IV:12688631-12703993,47.16,29.71,-0.67,0.0264
Y47D3A.29,CHROMOSOME_III:11142348-11154124,39.17,24.70,-0.67,0.0061
F54C9.8,CHROMOSOME_II:8575489-8577671,525.72,331.49,-0.67,0.0025
T16G12.8,CHROMOSOME_III:10059210-10061895,18.70,11.79,-0.67,0.0420
ZK742.1,CHROMOSOME_V:7805044-7814926,156.91,99.05,-0.66,0.0225
T12F5.3,CHROMOSOME_I:3726013-3731227,38.96,24.65,-0.66,0.0025
Y18H1A.3,CHROMOSOME_I:700276-715853,15.59,9.87,-0.66,0.0170
C01G8.1,CHROMOSOME_I:5272848-5274325,206.71,130.94,-0.66,0.0025
Y25C1A.5,CHROMOSOME_II:3078798-3087684,58.99,37.38,-0.66,0.0045
Y55F3AR.3,CHROMOSOME_IV:1087574-1093920,112.38,71.21,-0.66,0.0025
W01G7.5,CHROMOSOME_II:14063374-14065829,58.19,36.99,-0.65,0.0158
T24D1.3,CHROMOSOME_I:9958770-9960145,98.84,62.84,-0.65,0.0061
F53B3.5,CHROMOSOME_X:2872799-2879611,16.57,10.54,-0.65,0.0427
C07A9.3,CHROMOSOME_III:9699796-9713844,100.79,64.12,-0.65,0.0045
F53A3.4,CHROMOSOME_III:1905957-1943619,9.29,5.91,-0.65,0.0170
F59A2.1,CHROMOSOME_III:3397731-3404468,200.94,127.93,-0.65,0.0061
F31C3.3,CHROMOSOME_I:15041420-15050691,24.43,15.55,-0.65,0.0092
Y69A2AR.16,CHROMOSOME_IV:2504325-2530298,29.03,18.48,-0.65,0.0145
T06E6.2,CHROMOSOME_V:15395676-15397331,604.76,385.31,-0.65,0.0061
F23C8.4,CHROMOSOME_I:2434005-2435711,106.72,68.03,-0.65,0.0061
F09E5.1,CHROMOSOME_II:5380007-5387308,37.59,23.97,-0.65,0.0121
F36A2.13,CHROMOSOME_I:8828036-8838712,44.72,28.53,-0.65,0.0045
T28F12.3,CHROMOSOME_V:4517667-4549277,13.31,8.49,-0.65,0.0145
Y53F4B.9,CHROMOSOME_II:15004788-15010347,23.78,15.21,-0.65,0.0077
Y92H12A.3,CHROMOSOME_I:1529890-1534238,37.50,23.99,-0.64,0.0457
W09G10.4,CHROMOSOME_II:3532528-3546436,15.13,9.68,-0.64,0.0145
Y55B1AR.2,CHROMOSOME_III:587240-598114,31.00,19.84,-0.64,0.0203
W06F12.1,CHROMOSOME_III:13701891-13723972,22.54,14.44,-0.64,0.0192
F26F2.7,CHROMOSOME_V:20580964-20590309,15.51,9.94,-0.64,0.0236
F25E5.1,CHROMOSOME_V:7465869-7471190,8.64,5.54,-0.64,0.0374
T19B4.2,CHROMOSOME_I:5691840-5697453,79.47,51.04,-0.64,0.0061
R11A8.7,CHROMOSOME_IV:10374883-10387275,68.29,43.87,-0.64,0.0061
C04A11.3,CHROMOSOME_X:13677121-13682008,8.49,5.46,-0.64,0.0318
F20H11.2,CHROMOSOME_III:6592513-6601118,31.60,20.34,-0.64,0.0106
C48D1.2,CHROMOSOME_IV:13199205-13206272,15.93,10.25,-0.64,0.0133
C26E6.2,CHROMOSOME_III:4952085-4955085,12.22,7.87,-0.63,0.0403
T19E7.2,CHROMOSOME_IV:5651073-5660514,84.26,54.29,-0.63,0.0045
F33H2.5,CHROMOSOME_I:15001842-15013863,30.88,19.90,-0.63,0.0106
F56D1.4,CHROMOSOME_II:5466343-5473788,25.40,16.38,-0.63,0.0045
ZK520.4,CHROMOSOME_III:13687097-13692487,58.57,37.78,-0.63,0.0145
C01F1.6,CHROMOSOME_II:4282280-4288212,40.29,26.00,-0.63,0.0236
F32E10.4,CHROMOSOME_IV:7559407-7561655,147.59,95.30,-0.63,0.0061
F22G12.4,CHROMOSOME_I:13155213-13161499,16.41,10.60,-0.63,0.0281
Y39G10AR.2,CHROMOSOME_I:2402233-2409989,49.91,32.24,-0.63,0.0121
W03G1.6,CHROMOSOME_IV:506731-519456,35.19,22.74,-0.63,0.0106
C04A2.7,CHROMOSOME_II:6852175-6858255,134.39,86.87,-0.63,0.0077
ZK112.2,CHROMOSOME_III:7731321-7737641,45.88,29.66,-0.63,0.0077
C36E8.5,CHROMOSOME_III:4015747-4017622,836.58,541.31,-0.63,0.0092
R119.4,CHROMOSOME_I:364521-381907,292.97,189.68,-0.63,0.0328
K11G12.6,CHROMOSOME_X:6725741-6729618,16.00,10.36,-0.63,0.0396
C05B10.1,CHROMOSOME_IV:6842952-6844955,36.80,23.83,-0.63,0.0264
K12D12.2,CHROMOSOME_II:11865459-11874651,54.20,35.12,-0.63,0.0106
Y46G5A.4,CHROMOSOME_II:12726888-12736805,50.10,32.47,-0.63,0.0077
C18H9.3,CHROMOSOME_II:6684201-6688606,59.18,38.37,-0.63,0.0092
Y38E10A.6,CHROMOSOME_II:12582110-12603615,20.07,13.01,-0.62,0.0158
C53D5.6,CHROMOSOME_I:310980-314992,175.57,113.85,-0.62,0.0077
C02C6.1,CHROMOSOME_X:15568847-15573625,17.87,11.59,-0.62,0.0380
C09D8.1,CHROMOSOME_II:10968325-11012173,9.22,5.98,-0.62,0.0236
F38E1.7,CHROMOSOME_V:8355967-8358168,85.64,55.61,-0.62,0.0133
ZK675.1,CHROMOSOME_II:7893177-7900433,129.56,84.20,-0.62,0.0061
Y32H12A.8,CHROMOSOME_III:5385577-5404946,6.54,4.25,-0.62,0.0181
Y116A8C.13,CHROMOSOME_IV:16950031-16962832,11.54,7.50,-0.62,0.0489
Y59C2A.2,CHROMOSOME_II:2199147-2204144,15.47,10.06,-0.62,0.0476
B0511.12,CHROMOSOME_I:10654286-10666866,33.76,21.96,-0.62,0.0106
Y40B1B.8,CHROMOSOME_I:13428899-13434593,22.45,14.62,-0.62,0.0290
C32A3.1,CHROMOSOME_III:3613202-3627125,32.71,21.35,-0.62,0.0300
Y18D10A.13,CHROMOSOME_I:12878584-12902794,19.30,12.60,-0.62,0.0181
F32H2.3,CHROMOSOME_I:8966287-8970121,79.22,51.74,-0.61,0.0145
ZK546.15,CHROMOSOME_II:4948147-4949480,64.69,42.27,-0.61,0.0309
R144.4,CHROMOSOME_III:5018611-5021072,53.62,35.05,-0.61,0.0121
K08E7.3,CHROMOSOME_IV:12567832-12571030,66.11,43.22,-0.61,0.0121
T12F5.4,CHROMOSOME_I:3713519-3721160,12.46,8.15,-0.61,0.0290
C18F10.7,CHROMOSOME_III:6273107-6278305,52.31,34.20,-0.61,0.0273
C01H6.5,CHROMOSOME_I:7214742-7221346,28.85,18.87,-0.61,0.0245
C30C11.4,CHROMOSOME_III:8443842-8446846,196.88,128.88,-0.61,0.0061
F57B9.2,CHROMOSOME_III:6946693-6958816,85.06,55.71,-0.61,0.0106
C34B4.2,CHROMOSOME_V:13086179-13092547,38.58,25.28,-0.61,0.0203
Y51A2D.7,CHROMOSOME_V:18533925-18549077,13.66,8.95,-0.61,0.0245
C25D7.6,CHROMOSOME_V:15053740-15059584,129.74,85.06,-0.61,0.0133
K08E3.5,CHROMOSOME_III:13763962-13767993,298.64,195.78,-0.61,0.0121
F43G6.1,CHROMOSOME_II:11778087-11782419,32.67,21.42,-0.61,0.0133
D1044.6,CHROMOSOME_III:5535617-5543128,33.01,21.64,-0.61,0.0170
C01G8.9,CHROMOSOME_I:5301520-5310729,28.76,18.86,-0.61,0.0133
Y54E2A.4,CHROMOSOME_II:14754592-14778061,19.48,12.79,-0.61,0.0106
T26A8.4,CHROMOSOME_IV:8428947-8431482,51.18,33.62,-0.61,0.0133
M01B12.4,CHROMOSOME_I:3070971-3084878,36.90,24.25,-0.61,0.0245
F53F10.5,CHROMOSOME_I:3817998-3821506,33.71,22.15,-0.61,0.0214
T10B5.5,CHROMOSOME_V:1872242-1875526,134.80,88.62,-0.61,0.0061
Y39G10AR.13,CHROMOSOME_I:2304471-2306818,52.63,34.70,-0.60,0.0121
H04D03.2,CHROMOSOME_III:10439237-10442308,16.36,10.79,-0.60,0.0482
R13A1.2,CHROMOSOME_IV:7213201-7217968,22.33,14.73,-0.60,0.0245
B0336.3,CHROMOSOME_III:5711502-5714579,68.90,45.46,-0.60,0.0214
Y73B6BL.23,CHROMOSOME_IV:6417680-6419067,93.44,61.78,-0.60,0.0255
