Gene,Coordinates,F4 N2 normalized reads,F4 morc-1(-) normalized reads,Log2(fold change),Adjusted p-value
D1025.8,CHROMOSOME_X:14524687-14525111,116.87,51.55,-1.18,0.0350
F25E2.4,CHROMOSOME_X:813850-815928,37.75,16.68,-1.18,0.0012
R05D8.8,CHROMOSOME_V:2763961-2765223,37.48,16.60,-1.17,0.0012
Y41C4A.19,CHROMOSOME_III:11705612-11706544,30.90,13.69,-1.17,0.0072
Y55B1AR.1,CHROMOSOME_III:599505-600606,4279.16,1903.66,-1.17,0.0038
K06A4.7,CHROMOSOME_V:9489909-9491468,5397.80,2405.45,-1.17,0.0012
T19C9.8,CHROMOSOME_V:17239071-17240631,12.10,5.41,-1.16,0.0201
C16B8.3,CHROMOSOME_X:3968015-3968617,208.14,93.41,-1.16,0.0012
C54D10.7,CHROMOSOME_V:12441645-12443816,8.23,3.70,-1.15,0.0147
F54E2.1,CHROMOSOME_V:2810424-2811983,96.64,43.79,-1.14,0.0022
C27A2.2,CHROMOSOME_II:5055605-5056209,6657.03,3022.95,-1.14,0.0012
Y77E11A.15,CHROMOSOME_IV:1459861-1460787,1271.47,578.09,-1.14,0.0022
F37C4.5,CHROMOSOME_IV:3871822-3874410,454.88,208.38,-1.13,0.0012
C37A2.7,CHROMOSOME_I:6789060-6789741,7607.98,3489.64,-1.12,0.0012
Y69A2AR.3,CHROMOSOME_IV:2641305-2642114,503.71,231.21,-1.12,0.0012
Y77E11A.2,CHROMOSOME_IV:1457073-1459524,48.80,22.55,-1.11,0.0012
F08F1.8,CHROMOSOME_X:8422425-8423680,299.71,139.02,-1.11,0.0012
F38E11.1,CHROMOSOME_IV:9444770-9445307,134.46,62.46,-1.11,0.0059
T07C4.4,CHROMOSOME_III:10352060-10355574,890.98,414.40,-1.10,0.0499
F14F7.1,CHROMOSOME_III:13018833-13020130,437.02,203.51,-1.10,0.0012
W05B2.6,CHROMOSOME_III:10982066-10983154,30.29,14.13,-1.10,0.0169
C31A11.5,CHROMOSOME_V:16302727-16306136,12.46,5.82,-1.10,0.0059
JC8.14,CHROMOSOME_IV:13254200-13255310,844.44,395.06,-1.10,0.0012
C08E8.4,CHROMOSOME_V:18371817-18373503,21.81,10.20,-1.10,0.0022
T24C4.4,CHROMOSOME_III:872610-873520,33.51,15.69,-1.09,0.0224
C35B1.5,CHROMOSOME_IV:4083580-4084208,552.07,259.97,-1.09,0.0012
F23A7.4,CHROMOSOME_X:16212533-16213000,1417.03,671.21,-1.08,0.0046
F25H8.5,CHROMOSOME_IV:9921983-9928202,20.32,9.64,-1.08,0.0253
D2007.1,CHROMOSOME_III:8155392-8155877,82.13,39.10,-1.07,0.0123
Y54G2A.3,CHROMOSOME_IV:3012602-3014439,142.94,68.12,-1.07,0.0012
F41F3.4,CHROMOSOME_V:4652367-4653972,335.54,160.18,-1.07,0.0022
Y34F4.2,CHROMOSOME_III:1010523-1011363,75.36,36.07,-1.06,0.0132
B0222.3,CHROMOSOME_V:9138927-9141375,14.93,7.15,-1.06,0.0182
F54C9.3,CHROMOSOME_II:8566468-8566806,1226.41,588.55,-1.06,0.0012
C07E3.3,CHROMOSOME_II:10353572-10357460,23.23,11.16,-1.06,0.0127
K03H1.4,CHROMOSOME_III:9927643-9928919,2505.98,1206.31,-1.05,0.0046
ZK813.7,CHROMOSOME_X:3444788-3445382,2065.82,994.61,-1.05,0.0052
F45E1.6,CHROMOSOME_X:7981332-7982027,156.58,75.39,-1.05,0.0031
R02D5.3,CHROMOSOME_V:14483142-14484667,14.60,7.03,-1.05,0.0374
Y54G2A.49,CHROMOSOME_IV:2851690-2852872,42.16,20.38,-1.05,0.0480
F57C2.4,CHROMOSOME_II:14525236-14525958,278.80,134.79,-1.05,0.0022
K08D8.5,CHROMOSOME_IV:12910620-12912112,32.16,15.58,-1.05,0.0052
F59A1.10,CHROMOSOME_V:17660277-17664119,40.49,19.63,-1.04,0.0012
C52E4.2,CHROMOSOME_V:11976754-11978385,145.96,70.86,-1.04,0.0038
B0496.7,CHROMOSOME_IV:7424484-7445354,75.53,36.69,-1.04,0.0309
Y22D7AL.15,CHROMOSOME_III:1658238-1659854,139.26,67.86,-1.04,0.0012
T24B8.5,CHROMOSOME_II:9082620-9083081,183.10,89.22,-1.04,0.0156
F42F12.6,CHROMOSOME_X:12357439-12357851,279.90,136.59,-1.04,0.0137
F28D1.5,CHROMOSOME_IV:12383143-12383983,505.69,247.37,-1.03,0.0022
ZK813.1,CHROMOSOME_X:3446298-3448240,2642.79,1294.38,-1.03,0.0095
F43E2.5,CHROMOSOME_II:7359917-7364064,400.51,196.18,-1.03,0.0012
C49G7.5,CHROMOSOME_V:4042388-4043585,11.67,5.72,-1.03,0.0448
C35B1.4,CHROMOSOME_IV:4079797-4080939,802.90,393.74,-1.03,0.0012
F44C4.3,CHROMOSOME_V:6614656-6615828,1617.70,794.34,-1.03,0.0046
F38A3.1,CHROMOSOME_II:11012335-11013720,169.70,83.39,-1.03,0.0052
R09H10.3,CHROMOSOME_IV:10606933-10609835,333.75,164.08,-1.02,0.0046
C28A5.3,CHROMOSOME_III:4442052-4444211,51.98,25.60,-1.02,0.0031
F09B9.1,CHROMOSOME_X:10139314-10141954,53.53,26.37,-1.02,0.0012
F35C5.9,CHROMOSOME_II:12904330-12906538,35.22,17.36,-1.02,0.0065
F36A2.6,CHROMOSOME_I:8815505-8816482,8201.96,4044.11,-1.02,0.0173
K05B2.3,CHROMOSOME_X:4907259-4915956,157.93,77.91,-1.02,0.0038
F13H10.6,CHROMOSOME_IV:11009272-11009956,127.48,62.96,-1.02,0.0169
ZK593.3,CHROMOSOME_IV:10916593-10917671,126.32,62.43,-1.02,0.0059
W05B2.5,CHROMOSOME_III:10984455-10985509,584.89,289.29,-1.02,0.0012
C52D10.1,CHROMOSOME_IV:17186873-17189770,19.31,9.55,-1.02,0.0205
C55B7.4,CHROMOSOME_I:6497439-6499561,1307.14,647.31,-1.01,0.0287
F28F8.2,CHROMOSOME_V:15567372-15569870,134.48,67.45,-1.00,0.0012
T08A9.9,CHROMOSOME_X:7319886-7320338,10116.40,5091.99,-0.99,0.0201
F23A7.8,CHROMOSOME_X:16213300-16213527,1254.93,633.02,-0.99,0.0059
Y38H6C.1,CHROMOSOME_V:20497883-20499042,5068.20,2558.38,-0.99,0.0059
ZK1055.7,CHROMOSOME_V:6602719-6605360,45.01,22.73,-0.99,0.0038
W01B11.6,CHROMOSOME_I:3287383-3294360,329.42,166.38,-0.99,0.0012
F46C8.6,CHROMOSOME_X:7536413-7537748,10.30,5.20,-0.99,0.0377
Y53H1B.2,CHROMOSOME_I:11292652-11294174,178.12,90.16,-0.98,0.0022
F21E9.3,CHROMOSOME_X:1335357-1336910,38.81,19.66,-0.98,0.0260
T07C12.7,CHROMOSOME_V:9951201-9952153,558.55,283.49,-0.98,0.0012
C18A11.1,CHROMOSOME_X:8069499-8070239,32.63,16.60,-0.98,0.0190
T11B7.3,CHROMOSOME_IV:8848168-8849663,15.43,7.88,-0.97,0.0190
C35D10.14,CHROMOSOME_III:4881877-4883542,72.46,37.01,-0.97,0.0022
C14F11.5,CHROMOSOME_X:6233112-6235505,159.24,81.39,-0.97,0.0046
C36E6.5,CHROMOSOME_X:17452317-17456520,1529.99,783.15,-0.97,0.0038
F54E7.2,CHROMOSOME_III:5679193-5680142,6995.00,3580.99,-0.97,0.0052
H01G02.1,CHROMOSOME_IV:11803249-11804129,207.04,106.02,-0.97,0.0052
E04F6.9,CHROMOSOME_II:7211587-7212120,220.26,112.85,-0.96,0.0031
R09B5.6,CHROMOSOME_V:1460366-1461614,278.06,142.70,-0.96,0.0038
W01A11.4,CHROMOSOME_V:6488181-6489033,510.36,261.95,-0.96,0.0031
B0336.10,CHROMOSOME_III:5705467-5706281,7000.18,3596.97,-0.96,0.0127
F16B4.4,CHROMOSOME_V:1594111-1594665,376.78,194.09,-0.96,0.0031
ZC373.2,CHROMOSOME_X:10057866-10058379,3383.06,1744.16,-0.96,0.0127
C06B3.7,CHROMOSOME_V:13909733-13911510,14.19,7.32,-0.96,0.0213
W05G11.6,CHROMOSOME_III:62885-66261,238.90,123.33,-0.95,0.0012
F55C10.3,CHROMOSOME_V:11388871-11389857,22.64,11.69,-0.95,0.0350
T28D6.2,CHROMOSOME_III:11366651-11371675,26.44,13.68,-0.95,0.0335
Y41D4B.5,CHROMOSOME_IV:1659683-1660010,9641.03,4990.63,-0.95,0.0031
F07D3.2,CHROMOSOME_V:9471948-9473784,25.89,13.43,-0.95,0.0387
Y62H9A.4,CHROMOSOME_X:11880055-11881196,212.42,110.24,-0.95,0.0059
F09B9.4,CHROMOSOME_X:10160571-10161750,42.81,22.24,-0.94,0.0156
C16A3.9,CHROMOSOME_III:6374040-6374950,4713.30,2450.91,-0.94,0.0095
Y60A3A.18,CHROMOSOME_V:19924192-19924999,59.90,31.20,-0.94,0.0052
F29C4.2,CHROMOSOME_IV:126728-127636,2329.04,1213.81,-0.94,0.0012
F55D10.2,CHROMOSOME_X:4715146-4715772,1391.67,726.13,-0.94,0.0012
F44F4.11,CHROMOSOME_II:10918645-10920124,156.70,81.84,-0.94,0.0022
C31C9.2,CHROMOSOME_II:13636912-13638415,108.84,56.89,-0.94,0.0038
R07B1.10,CHROMOSOME_X:9850150-9851317,446.12,233.25,-0.94,0.0106
C44F1.3,CHROMOSOME_III:3771402-3773315,95.99,50.22,-0.93,0.0052
Y62E10A.1,CHROMOSOME_IV:13369399-13370269,2997.07,1569.54,-0.93,0.0022
Y105C5B.5,CHROMOSOME_IV:15899891-15901193,198.53,104.10,-0.93,0.0046
F54C1.7,CHROMOSOME_I:5018769-5020166,2390.18,1254.98,-0.93,0.0132
F35E12.7,CHROMOSOME_V:13727747-13730763,19.64,10.32,-0.93,0.0186
C25E10.8,CHROMOSOME_V:9053294-9053995,57.94,30.44,-0.93,0.0253
F40F8.10,CHROMOSOME_II:11125309-11126310,6523.76,3428.31,-0.93,0.0238
T01D3.6,CHROMOSOME_V:13716835-13720389,148.55,78.26,-0.92,0.0090
B0218.2,CHROMOSOME_IV:8152428-8154845,86.58,45.64,-0.92,0.0022
C04C11.1,CHROMOSOME_X:14020716-14022340,18.77,9.90,-0.92,0.0444
Y50D7A.7,CHROMOSOME_III:292647-313725,137.01,72.43,-0.92,0.0038
C10C5.2,CHROMOSOME_IV:9371490-9373619,6.32,3.34,-0.92,0.0422
Y34B4A.9,CHROMOSOME_X:5255159-5256826,533.80,282.39,-0.92,0.0012
D1086.11,CHROMOSOME_V:14074440-14076701,67.97,36.02,-0.92,0.0022
M60.4,CHROMOSOME_X:8232202-8236265,529.44,280.98,-0.91,0.0031
F54D5.4,CHROMOSOME_II:11569744-11570936,681.29,362.08,-0.91,0.0022
C09F12.1,CHROMOSOME_X:11047348-11049166,207.59,110.35,-0.91,0.0022
ZK228.3,CHROMOSOME_V:18458207-18461203,13.01,6.94,-0.91,0.0469
F28H1.2,CHROMOSOME_I:3987893-3988705,1622.87,866.04,-0.91,0.0065
K10B3.8,CHROMOSOME_X:3113423-3116528,612.80,327.05,-0.91,0.0052
Y38F1A.6,CHROMOSOME_II:12994288-12996502,506.50,270.52,-0.90,0.0046
Y22F5A.5,CHROMOSOME_V:10280284-10281445,425.66,227.49,-0.90,0.0072
Y71H2B.4,CHROMOSOME_III:2618929-2619372,550.86,294.59,-0.90,0.0078
W02D3.7,CHROMOSOME_I:6731269-6732281,189.18,101.24,-0.90,0.0117
F42F12.9,CHROMOSOME_X:12343545-12343975,342.37,183.28,-0.90,0.0182
T25B6.2,CHROMOSOME_X:9034498-9038485,33.54,18.01,-0.90,0.0065
F37B4.2,CHROMOSOME_V:2881382-2883752,25.78,13.87,-0.89,0.0274
T12D8.5,CHROMOSOME_III:13625868-13626430,464.89,250.29,-0.89,0.0022
F21F3.3,CHROMOSOME_I:4901974-4903174,52.98,28.57,-0.89,0.0389
F22B8.6,CHROMOSOME_V:16100634-16102724,68.39,36.94,-0.89,0.0078
F42F12.7,CHROMOSOME_X:12358542-12359029,184.97,99.95,-0.89,0.0332
ZK813.3,CHROMOSOME_X:3441825-3442447,1797.33,971.28,-0.89,0.0201
K11G9.6,CHROMOSOME_V:6691351-6691846,629.71,340.80,-0.89,0.0046
F56B3.1,CHROMOSOME_IV:762411-763678,303.22,164.25,-0.88,0.0059
Y62H9A.3,CHROMOSOME_X:11879041-11879903,185.10,100.41,-0.88,0.0147
F01F1.12,CHROMOSOME_III:5873003-5876580,2056.16,1115.43,-0.88,0.0274
F09A5.9,CHROMOSOME_X:13139790-13140816,74.70,40.57,-0.88,0.0084
ZK6.10,CHROMOSOME_V:411779-414761,162.20,88.19,-0.88,0.0277
F44G3.6,CHROMOSOME_V:16121759-16122621,55.38,30.13,-0.88,0.0101
F38A5.3,CHROMOSOME_IV:6588178-6590194,40.94,22.33,-0.87,0.0411
T15B7.3,CHROMOSOME_V:6835617-6836683,964.56,526.32,-0.87,0.0205
Y37D8A.19,CHROMOSOME_III:12928268-12931766,389.55,212.64,-0.87,0.0227
Y69H2.14,CHROMOSOME_V:18638453-18639560,534.67,291.97,-0.87,0.0059
ZC64.2,CHROMOSOME_X:3840846-3842449,242.31,132.69,-0.87,0.0078
C04F12.4,CHROMOSOME_I:9689175-9690548,5265.74,2883.81,-0.87,0.0230
K02B2.5,CHROMOSOME_IV:5947023-5947595,10306.00,5645.99,-0.87,0.0444
LLC1.2,CHROMOSOME_IV:14456879-14464071,578.30,318.12,-0.86,0.0090
T20B3.2,CHROMOSOME_V:16833293-16839049,43.49,23.92,-0.86,0.0194
C06B8.8,CHROMOSOME_V:15512147-15522002,14335.80,7902.46,-0.86,0.0205
C32D5.8,CHROMOSOME_II:6343021-6345893,296.26,163.57,-0.86,0.0078
T05F1.3,CHROMOSOME_I:9625047-9625998,5963.63,3293.40,-0.86,0.0264
Y53F4B.29,CHROMOSOME_II:15163731-15164508,66.90,36.98,-0.86,0.0281
JC8.8,CHROMOSOME_IV:13247236-13252289,2014.94,1113.94,-0.86,0.0209
F30A10.14,CHROMOSOME_I:9476596-9477081,53.35,29.53,-0.85,0.0392
C53A5.1,CHROMOSOME_V:14523314-14524115,1677.05,928.89,-0.85,0.0078
F53H4.2,CHROMOSOME_X:15852865-15860539,131.25,72.71,-0.85,0.0137
K07C11.7,CHROMOSOME_V:8206846-8213948,239.20,132.57,-0.85,0.0201
F32D8.12,CHROMOSOME_V:10887853-10891011,114.39,63.65,-0.85,0.0112
F22A3.6,CHROMOSOME_X:6533446-6536803,3300.74,1837.93,-0.84,0.0355
Y58A7A.3,CHROMOSOME_V:5077833-5080881,13.96,7.78,-0.84,0.0156
C26F1.9,CHROMOSOME_V:7774496-7776067,14169.60,7901.67,-0.84,0.0151
F37C12.4,CHROMOSOME_III:7180186-7180615,7042.12,3930.30,-0.84,0.0246
ZK721.2,CHROMOSOME_X:8789400-8790568,825.94,461.54,-0.84,0.0127
R148.6,CHROMOSOME_III:3198460-3199509,430.66,240.69,-0.84,0.0090
M18.1,CHROMOSOME_IV:12108648-12110236,195.60,109.43,-0.84,0.0201
Y62H9A.6,CHROMOSOME_X:11883058-11883975,1461.68,818.10,-0.84,0.0455
F37C12.11,CHROMOSOME_III:7189078-7189576,5621.04,3148.51,-0.84,0.0147
C14B9.10,CHROMOSOME_III:8130795-8132376,1665.19,932.96,-0.84,0.0052
Y57A10C.6,CHROMOSOME_II:12423447-12425632,124.16,69.64,-0.83,0.0052
W03G11.1,CHROMOSOME_X:12104861-12106013,2284.68,1282.46,-0.83,0.0450
C02F12.5,CHROMOSOME_X:3670359-3672045,150.12,84.45,-0.83,0.0132
F40F12.7,CHROMOSOME_III:9914171-9915728,127.44,71.75,-0.83,0.0065
F18E3.7,CHROMOSOME_V:7433381-7435015,85.23,48.03,-0.83,0.0090
W02D9.6,CHROMOSOME_I:12560249-12560699,115.81,65.32,-0.83,0.0227
C33H5.13,CHROMOSOME_IV:7791640-7792213,66.18,37.35,-0.83,0.0482
C31H5.4,CHROMOSOME_I:9042266-9042592,252.83,142.70,-0.83,0.0294
C14A6.1,CHROMOSOME_V:18157998-18159582,194.87,110.07,-0.82,0.0117
Y51H1A.3,CHROMOSOME_II:13872796-13875351,564.23,319.43,-0.82,0.0046
T03D8.3,CHROMOSOME_V:20825649-20828855,58.66,33.32,-0.82,0.0294
C34F6.3,CHROMOSOME_X:11201457-11203925,289.17,164.28,-0.82,0.0117
T01B11.2,CHROMOSOME_IV:8449335-8451758,51.66,29.35,-0.82,0.0112
D1037.3,CHROMOSOME_I:3680180-3680947,1059.96,602.61,-0.81,0.0141
